time,open,high,low,close,Volume,Volume MA
2025-11-19T17:52:00Z,89250,89345,89250,89310,12,26.95
2025-11-19T17:53:00Z,89380,89435,89370,89370,19,24.45
2025-11-19T17:54:00Z,89325,89340,89240,89265,12,22.8
2025-11-19T17:55:00Z,89255,89360,89255,89360,9,21.85
2025-11-19T17:56:00Z,89370,89370,89300,89320,8,19.65
2025-11-19T17:57:00Z,89350,89450,89350,89430,7,18.8
2025-11-19T17:58:00Z,89415,89530,89415,89495,16,18.55
2025-11-19T17:59:00Z,89595,89630,89520,89520,11,17.8
2025-11-19T18:00:00Z,89545,89550,89460,89520,13,17.95
2025-11-19T18:01:00Z,89480,89565,89465,89540,9,16.7
2025-11-19T18:02:00Z,89480,89500,89470,89470,8,15.3
2025-11-19T18:03:00Z,89510,89570,89500,89525,15,14.5
2025-11-19T18:04:00Z,89565,89700,89500,89605,25,14.35
2025-11-19T18:05:00Z,89590,89610,89545,89580,28,13.95
2025-11-19T18:06:00Z,89600,89675,89455,89455,33,15.1
2025-11-19T18:07:00Z,89475,89475,89395,89420,12,14.95
2025-11-19T18:08:00Z,89420,89495,89420,89495,6,14.5
2025-11-19T18:09:00Z,89470,89510,89465,89485,17,14.4
2025-11-19T18:10:00Z,89480,89560,89390,89545,24,15
2025-11-19T18:11:00Z,89560,89615,89525,89610,16,15
2025-11-19T18:12:00Z,89610,89610,89510,89580,16,15.2
2025-11-19T18:13:00Z,89640,89755,89640,89675,18,15.15
2025-11-19T18:14:00Z,89705,89735,89645,89705,10,15.05
2025-11-19T18:15:00Z,89735,89735,89530,89530,12,15.2
2025-11-19T18:16:00Z,89505,89505,89450,89470,9,15.25
2025-11-19T18:17:00Z,89440,89440,89380,89395,16,15.7
2025-11-19T18:18:00Z,89375,89375,89240,89240,6,15.2
2025-11-19T18:19:00Z,89265,89265,89215,89235,9,15.1
2025-11-19T18:20:00Z,89245,89280,89245,89280,5,14.7
2025-11-19T18:21:00Z,89305,89335,89290,89335,7,14.6
2025-11-19T18:22:00Z,89350,89380,89350,89380,4,14.4
2025-11-19T18:23:00Z,89400,89400,89240,89240,7,14
2025-11-19T18:24:00Z,89225,89225,89095,89175,12,13.35
2025-11-19T18:25:00Z,89180,89190,89180,89190,5,12.2
2025-11-19T18:26:00Z,89160,89160,89025,89025,15,11.3
2025-11-19T18:27:00Z,89045,89050,88935,88945,13,11.35
2025-11-19T18:28:00Z,88950,89045,88830,89045,19,12
2025-11-19T18:29:00Z,89000,89015,89000,89000,5,11.4
2025-11-19T18:30:00Z,89040,89140,89040,89045,16,11
2025-11-19T18:31:00Z,89065,89065,88895,88980,47,12.55
2025-11-19T18:32:00Z,88970,88975,88930,88935,10,12.25
2025-11-19T18:33:00Z,88940,88950,88895,88950,14,12.05
2025-11-19T18:34:00Z,88925,89070,88925,89070,11,12.1
2025-11-19T18:35:00Z,89055,89100,89000,89085,8,11.9
2025-11-19T18:36:00Z,89110,89150,89040,89145,9,11.9
2025-11-19T18:37:00Z,89120,89260,89120,89160,39,13.05
2025-11-19T18:38:00Z,89150,89345,89150,89250,32,14.35
2025-11-19T18:39:00Z,89230,89230,89085,89100,12,14.5
2025-11-19T18:40:00Z,89140,89140,89015,89025,9,14.7
2025-11-19T18:41:00Z,89000,89015,88985,89010,11,14.9
2025-11-19T18:42:00Z,89000,89030,88985,89000,11,15.25
2025-11-19T18:43:00Z,88975,88975,88900,88900,13,15.55
2025-11-19T18:44:00Z,88930,88960,88880,88895,18,15.85
2025-11-19T18:45:00Z,88905,88905,88855,88875,15,16.35
2025-11-19T18:46:00Z,88860,88890,88845,88890,7,15.95
2025-11-19T18:47:00Z,88920,88960,88890,88925,9,15.75
2025-11-19T18:48:00Z,88930,88930,88890,88895,11,15.35
2025-11-19T18:49:00Z,88900,88950,88835,88950,14,15.8
2025-11-19T18:50:00Z,88940,89130,88940,89105,26,16.3
2025-11-19T18:51:00Z,89160,89235,89160,89175,18,14.85
2025-11-19T18:52:00Z,89195,89195,89085,89090,17,15.2
2025-11-19T18:53:00Z,89100,89100,88970,89000,3,14.65
2025-11-19T18:54:00Z,89050,89120,89020,89110,13,14.75
2025-11-19T18:55:00Z,89105,89215,89100,89150,33,16
2025-11-19T18:56:00Z,89140,89290,89140,89260,7,15.9
2025-11-19T18:57:00Z,89315,89345,89280,89310,30,15.45
2025-11-19T18:58:00Z,89295,89325,89260,89325,18,14.75
2025-11-19T18:59:00Z,89320,89320,89230,89230,9,14.6
2025-11-19T19:00:00Z,89185,89220,89165,89165,7,14.5
2025-11-19T19:01:00Z,89205,89340,89190,89210,18,14.85
2025-11-19T19:02:00Z,89260,89260,89205,89205,3,14.45
